name,total_dice_coefficient,IRF_dice_coefficient,SRF_dice_coefficient,PED_dice_coefficient
Topcon_TRAIN066,0.7443822153272157,0.7444260252803474,,0.0
Topcon_TRAIN052,0.4846876507750591,0.5356613921479526,0.5207541190968984,0.0
Cirrus_TRAIN014,0.8869366929979735,0.0,0.8749942557080762,0.8868056744064288
Cirrus_TRAIN012,0.847923225044966,0.0,0.8318752609580998,0.8422582868591194
Cirrus_TRAIN002,0.7593897446225949,0.7607217384334432,0.7189089727547452,0.0
Topcon_TRAIN063,0.6633467704218368,0.0,0.8091376588547924,0.1554482242653069
Cirrus_TRAIN022,0.6549650635356997,0.676391322930512,0.0,0.0
Cirrus_TRAIN003,0.3778016444464003,0.6464226539946852,0.0,0.0
Topcon_TRAIN060,0.3240263498795443,0.48014683027048105,0.0,0.0
Cirrus_TRAIN018,0.2664835163920043,0.32482210116164834,0.0,0.0
Topcon_TRAIN068,0.7339966973305282,0.7373642889884225,0.5652562041483206,0.0
Spectralis_TRAIN046,0.8775304300607568,0.778730273584309,0.23725553054272025,0.886076533387885
Spectralis_TRAIN041,0.2376025685916509,0.2376025685916509,,
Spectralis_TRAIN035,0.8838006383613719,0.0,0.9349003445070845,0.6074918696229615
Spectralis_TRAIN031,0.7938901552711645,0.0,0.0,0.7998194184016585
Spectralis_TRAIN026,0.911815124017459,0.9142298925346399,0.0,0.0
