vendor,total_dice_coefficient,IRF_dice_coefficient,SRF_dice_coefficient,PED_dice_coefficient
Cirrus,0.44682479433347233,0.31495224954218143,0.4575248113011583,0.3220970095252653
Spectralis,0.5934610229088583,0.4071554847191641,0.6024352539448463,0.5052977374572611
Topcon,0.3491057040669663,0.3704037585938325,0.4955761215952365,0.06347794441239032
